query_id,product_code,device_class
K220408,qkb,2
K182034,llz,2
K220499,qas,2
K221962,mxd,2
K210561,qcc,2
K193298,qas,2
K192287,qdq,2
K210719,qih,2
K222272,geh,2
K201555,pok,2
K230899,qfm,2
K202094,dqk,2
K230553,mxd,2
K211611,qih,2
K223322,llz,2
K203699,jak,2
K193351,qas,2
K220619,iyn,2
K181704,qdq,2
K212519,myn,2
K203448,jak,2
K220624,llz,2
K193658,qas,2
K212690,qih,2
K202089,pov,2
K210071,llz,2
K213272,qih,2
K212960,iyn,2
K212441,jak,2
K173780,llz,2
K200065,occ,2
K223473,qnp,2
K222895,kps,2
K192973,llz,2
K203514,jak,2
K220851,iyn,2
K182091,nha,2
K221738,qih,2
K223426,lnh,2
K200755,qju,2
K230043,fmi,2
K193282,lnh,2
K181815,jdr,2
K223032,qih,2
K200132,llz,2
K212265,iyn,2
K231157,oeb,2
K220416,llz,2
K230355,lnh,2
K203508,qas,2
K221632,qih,2
K202212,llz,2
K210556,qih,2
K193109,muj,2
K192065,muj,2
K212269,mqb,2
K210085,jak,2
K193170,jak,2
K221716,qas,2
K222054,llz,2
K203364,psy,2
K191083,gxy,2
K223212,kps,2
K222406,qih,2
K220975,iyn,2
K202767,lnh,2
K203469,muj,2
K213725,jak,2
K222593,llz,2
K211841,muj,2
K201560,myn,2
K220211,lza,1
K201710,llz,2
K222312,muj,2
K230264,llz,2
K213795,myn,2
K230150,qih,2
K223180,llz,2
K212383,owb,2
K173542,llz,2
K221305,qkb,2
K222463,quo,2
K231459,lnh,2
K203610,qkb,2
K212218,qkb,2
K213686,qnp,2
K213886,qas,2
K231195,qas,2
K183271,jak,2
K220349,llz,2
K210209,qas,2
K223516,dqk,2
K191925,mnr,2
K193281,jak,2
K203235,qkb,2
K203225,jak,2
K183019,llz,2
K220105,qdq,2
K213628,qkb,2
K191882,mwi,2
K203629,pib,2
K220986,jak,2
K203517,qfm,2
K213307,mqb,2
K221923,lnh,2
K210670,qdq,2
K221627,llz,2
K222389,dqk,2
K230823,dqd,2
K223491,qbs,2
K202992,qfm,2
K223811,myn,2
K201632,llz,2
K223311,jak,2
K231384,qas,2
K211803,qfm,2
K210632,qkb,2
K221100,qih,2
K211951,qnp,2
K193248,kps,2
K191928,qkb,2
K212336,owb,2
K192380,nbc,2
K222458,llz,2
K193294,llz,2
K180006,llz,2
K220264,qkb,2
K232088,nfj,2
K183546,cga,2
K213693,lnh,2
K222746,myn,2
K202902,mue,2
K202092,dze,2
K211846,kps,2
K180563,llz,2
P050038,lmg,3
P060022,hql,3
P170039,qbt,3
P190001,owd,3
P140031,npt,3
P070008,nke,3
P050028,mkt,3
P050053,npz,3
P200015,npv,f
P130021,npt,3
P030028,mta,3
P110008,nqo,3
P080014,maq,3
P190004,owd,3
P110038,mih,3
P070015,niq,3
P210015,mkj,3
P100047,dsq,3
P060004,lzs,3
P040033,nxt,3
P120005,mds,3
P010023,mpv,3
P120002,nip,3
P080026,mkt,3
P120007,oyb,3
P200003,qnk,3
P160039,psr,3
