,0
0,P030028
1,P190004
2,P050028
3,P040033
4,P120002
5,P010023
6,P120007
7,P200003
8,P110038
9,P070008
10,P170039
11,P080014
12,P160039
13,P050038
14,P080026
15,P070015
16,P190001
17,P130021
18,P060004
19,P210015
20,P120005
21,P050053
22,P200015
23,P100047
24,P140031
25,P110008
26,P060022
